movie_name,ranking,score,score_num
肖申克的救赎,1,9.7,1877840
霸王别姬,2,9.6,1378819
阿甘正传,3,9.5,1432175
这个杀手不太冷,4,9.4,1627172
美丽人生,5,9.5,910520
泰坦尼克号,6,9.4,1374430
千与千寻,7,9.3,1467424
辛德勒的名单,8,9.5,733353
盗梦空间,9,9.3,1383426
忠犬八公的故事,10,9.4,947795
海上钢琴师,11,9.3,1147732
机器人总动员,12,9.3,912599
三傻大闹宝莱坞,13,9.2,1268915
楚门的世界,14,9.3,1006676
放牛班的春天,15,9.3,884018
星际穿越,16,9.3,1021069
大话西游之大圣娶亲,17,9.2,995979
熔炉,18,9.3,609048
疯狂动物城,19,9.2,1177839
龙猫,20,9.2,853362
无间道,21,9.2,814516
教父,22,9.3,626392
当幸福来敲门,23,9.1,1018970
怦然心动,24,9.1,1169775
触不可及,25,9.2,666763
